teeth.id,teeth.tooth,teeth.upper,teeth.permanent,teeth.separation,teeth.x1,teeth.y1,teeth.x2,teeth.y2,teeth.horizontal_offset_for_source
1,11,True,True,1,269,0,313,148,0
2,12,True,True,1,237,0,268,148,0
3,13,True,True,1,200,0,236,148,0
4,14,True,True,1,166,0,199,148,0
5,15,True,True,1,129,0,165,148,0
6,16,True,True,1,87,0,128,148,0
7,17,True,True,1,44,0,86,148,0
8,18,True,True,1,9,0,43,148,0
9,21,True,True,1,314,0,358,148,0
10,22,True,True,1,359,0,389,148,0
11,23,True,True,1,390,0,427,148,0
12,24,True,True,1,428,0,462,148,0
13,25,True,True,1,463,0,497,148,0
14,26,True,True,1,498,0,539,148,0
15,27,True,True,1,540,0,582,148,0
16,28,True,True,1,583,0,619,148,0
17,31,False,True,1,314,149,341,296,0
18,32,False,True,1,342,149,372,296,0
19,33,False,True,1,373,149,406,296,0
20,34,False,True,1,406,149,437,296,0
21,35,False,True,1,438,149,470,296,0
22,36,False,True,1,471,149,514,296,0
23,37,False,True,1,515,149,557,296,0
24,38,False,True,1,558,149,604,296,0
25,41,False,True,1,285,149,313,296,0
26,42,False,True,1,256,149,284,296,0
27,43,False,True,1,221,149,255,296,0
28,44,False,True,1,190,149,221,296,0
29,45,False,True,1,156,149,189,296,0
30,46,False,True,1,112,149,155,296,0
31,47,False,True,1,69,149,111,296,0
32,48,False,True,1,25,149,68,296,0
36,51,True,False,1,269,0,313,148,0
37,52,True,False,1,237,0,268,148,0
38,53,True,False,1,200,0,236,148,0
39,54,True,False,1,157,0,199,148,-70
40,55,True,False,1,113,0,156,148,-69
41,61,True,False,1,314,0,358,148,0
42,62,True,False,1,359,0,389,148,0
43,63,True,False,1,390,0,427,148,0
44,64,True,False,1,424,0,466,148,74
45,65,True,False,1,466,0,509,148,74
46,71,False,False,1,314,149,341,296,0
47,72,False,False,1,324,149,371,296,0
48,73,False,False,1,372,149,406,296,0
49,74,False,False,1,407,149,448,296,64
50,75,False,False,1,449,149,493,296,66
51,81,False,False,1,285,149,313,296,0
52,82,False,False,1,256,149,284,296,0
53,83,False,False,1,221,149,255,296,0
54,85,False,False,1,132,149,174,296,-63
55,84,False,False,1,175,149,220,296,-63
